idIndividual,Meta_idMeta,Gender,Age_range,Occupation,WorkingHours,WorkRegularity,WorkHome,BillContributer,Income,UseDishwasher,UseWashingMachine,UseTumbleDryer,UseShower,UseVacuumCleaner,TimeMobile,TimeScreens,TimeCooking,TimeExercise,TimeOfDiary,Rushed,UnusualDay,DifficultyMeter,ConsentShare,EnergyInterest
1421,3456,2,1,1,1,1,1,3,6,1,4,6,5,1,1,5,1,4,0,NULL,NULL,NULL,0,4
1422,3457,2,3,3,4,3,5,1,3,1,4,4,5,1,5,6,4,4,0,NULL,NULL,NULL,0,2
1423,3459,1,3,1,1,1,3,2,5,1,4,4,5,1,3,6,3,5,0,NULL,NULL,NULL,0,2
1424,3458,1,1,1,1,1,1,3,6,1,1,1,5,1,1,4,1,4,0,NULL,NULL,NULL,0,2
1425,3526,1,1,6,6,4,6,4,6,1,1,1,5,1,1,5,1,4,0,NULL,NULL,NULL,0,3
1426,3523,1,1,1,1,4,1,3,6,5,4,4,5,1,6,3,3,2,0,NULL,NULL,NULL,0,5
1427,3525,1,1,1,6,4,6,3,6,5,2,2,5,1,6,4,2,3,0,NULL,NULL,NULL,0,3
1428,3437,1,3,2,4,2,3,1,4,5,4,1,5,3,4,6,4,3,0,NULL,NULL,NULL,0,2
1429,3435,2,3,2,4,2,3,1,6,1,1,1,5,1,5,4,4,3,0,NULL,NULL,NULL,0,3
1430,3436,2,1,1,2,1,1,3,6,1,1,1,3,1,1,2,1,4,0,NULL,NULL,NULL,0,3
1431,3453,1,3,2,4,1,3,1,4,1,1,1,5,1,6,6,3,3,0,NULL,NULL,NULL,0,3
1432,3452,2,3,2,3,1,2,1,4,6,5,4,6,1,5,6,3,2,0,NULL,NULL,NULL,0,3
1433,3442,1,4,5,0,0,0,2,6,5,4,3,5,3,1,5,5,3,0,NULL,NULL,NULL,0,1
1434,3443,2,4,5,0,0,0,2,2,4,2,1,5,2,6,6,2,3,0,NULL,NULL,NULL,0,1
