idLegend,tab,col,value,meaning
194,Household,bill_monthly,1,"Monthly figure"
195,Household,bill_monthly,0,"Annual figure"
196,Household,bill_monthly,q,"Switch to monthly amounts if you prefer"
197,Household,own,1,"Own, With or without a mortgage"
198,Household,own,q,"Your property. Do you own or rent your proper"
199,Household,own,3,"Rent, Private landlord"
200,Household,own,2,"Rent, Social landlord"
201,Household,people,q," How many people live at this address? "
202,Household,people,1,"1, just me"
203,Household,people,0,N/A
204,Household,people,3,"3 people"
205,Household,people,2,"2 people"
206,Household,people,5,"5 people"
207,Household,people,4,"4 people"
208,Household,people,6,"6 or more"
209,Household,rooms,q,"Rooms. How many rooms does your home have? No"
210,Household,rooms,1,"1 room"
211,Household,rooms,3,"3 rooms"
212,Household,rooms,2,"2 rooms"
213,Household,rooms,5,"5 rooms"
214,Household,rooms,4,"4 rooms"
215,Household,rooms,6,"6 or more"
216,Household,provider,oth,Other
217,Household,provider,coop,"The co-operative"
218,Household,provider,edf,EDF
219,Household,provider,eco,Ecotricity
220,Household,provider,sp,"Scottish Power"
221,Household,provider,eon,e-On
222,Household,provider,q,"Your electricity provider. Who provides your "
223,Household,provider,good,"Good Energy"
224,Household,provider,bg,"British Gas"
225,Household,provider,sse,SSE
226,Household,provider,npower,nPower
227,Household,quality,1,OK
228,Household,quality,0,none
229,Household,bill_uncertain,1,"Not sure"
230,Household,bill_uncertain,0,N/A
231,Household,bill_uncertain,q,"Not sure (about the bill amount)"
232,Household,p6pm,q,"Who's at home?. On a typical weekday, how man"
233,Household,p6pm,1,"1 person"
234,Household,p6pm,0,Nobody
235,Household,p6pm,3,"3 people"
236,Household,p6pm,2,"2 people"
237,Household,p6pm,5,"5 or more"
238,Household,p6pm,4,"4 people"
239,Household,page_number,19,"p19 Completed"
240,Household,page_number,0,"Not started"
241,Household,page_number,q,"At which page did completion stop?"
242,Household,page_number,17,"p17 Completed"
243,Household,page_number,18,"p18 Completed"
244,Household,appliance_bo,q,"Your appliances.  How about these things? Cli"
245,Household,income,q,"Income. What is your household income? . "
246,Household,income,1,"up to 15,000 / 1,000"
247,Household,income,3,"up to 35,000 / 2,000"
248,Household,income,2,"up to 25,000 / 1,500"
249,Household,income,5,"up to 70,000 / 4,000"
250,Household,income,4,"up to 50,000 / 3,000"
251,Household,income,6,"Over 70,000 / 4,000"
252,Household,bill_range,q,"Your electricity bill. How much do you spend "
253,Household,bill_range,1,"300/ 25"
254,Household,bill_range,0,N/A
255,Household,bill_range,3,"550/ 46"
256,Household,bill_range,2,"400/ 33"
257,Household,bill_range,5,"850/ 71"
258,Household,bill_range,4,"700/ 58"
259,Household,bill_range,6,"850/ 71"
260,Household,age_group5,q,"Age 51 - 70"
261,Household,age_group4,q,"Age 35 - 50"
262,Household,age_group6,q,"Over 70"
263,Household,age_group1,q,"Under 8"
264,Household,age_group3,q,"Age 19 - 34"
265,Household,age_group2,q,"Age 8 - 18"
266,Household,appliance_b10,1,Yes
267,Household,appliance_b10,0,No
268,Household,appliance_b10,q,"Solar thermal"
269,Household,appliance_b11,1,Yes
270,Household,appliance_b11,0,No
271,Household,appliance_b11,q,"Electric car"
272,Household,pet2,q,Cat
273,Household,appliance5,q,"Power shower (number of)"
274,Household,appliance4,q,"Night storage heaters (number of)"
275,Household,appliance7,q,"Not asked"
276,Household,appliance6,q,"TV/Computer screens (number of)"
277,Household,appliance1,q,"Dehumidifyer (number of)"
278,Household,appliance3,q,"Portable heaters (number of)"
279,Household,appliance2,q,"Air conditioner (number of)"
280,Household,house_type,q,"Your home. What type of house do you live in?"
281,Household,house_type,1,"Flat apartment"
282,Household,house_type,3,"Semi-detached house"
283,Household,house_type,2,"Detached house"
284,Household,house_type,5,"Bungalow house"
285,Household,house_type,4,"Terraced house"
286,Household,house_type,6,Other
287,Household,tariff,q,"Your tariff. Which of these best describes yo"
288,Household,tariff,1,Standard
289,Household,tariff,3,"Economy 7"
290,Household,tariff,2,Green
291,Household,tariff,5,"Don't know"
292,Household,tariff,4,"Economy 10"
293,Household,tariff,6,Other
294,Household,appliance8,q,"Not asked"
295,Household,status,11,"11 No data returned"
296,Household,status,10,"10 Data Error"
297,Household,status,31,"31 Await new date"
298,Household,status,1,"1 No date selected"
299,Household,status,0,"0 Survey incomplete"
300,Household,status,3,"3 Await confirm"
301,Household,status,2,"2 Date selected"
302,Household,status,-1,"-1 Date never used (changed by user)"
303,Household,status,4,"4 Confirmed participation"
304,Household,status,7,"7 Received graph"
305,Household,status,6,"6 Data processed"
306,Household,status,5,"5 Kit issued"
307,Household,status,8,"8 Made annotations"
308,Household,appliance_b8,1,Yes
309,Household,appliance_b8,0,No
310,Household,appliance_b8,q,"Electricity display"
311,Household,appliance_b9,1,Yes
312,Household,appliance_b9,0,No
313,Household,appliance_b9,q,"PV panels"
314,Household,appliance_b2,1,Yes
315,Household,appliance_b2,0,No
316,Household,appliance_b2,q,"Tumble dryer"
317,Household,appliance_b3,1,Yes
318,Household,appliance_b3,0,No
319,Household,appliance_b3,q,"Washer dryer"
320,Household,appliance_b1,1,Yes
321,Household,appliance_b1,0,No
