idMeta,SerialNumber,CollectionDate,DataType,Household_idHousehold,Quality,uploaded
3435,100.0,2018-07-08,A,10544,4,"2018-07-11 16:10:59"
3436,100.0,2018-07-06,A,10544,53,"2018-07-11 16:11:39"
3437,100.0,2018-07-06,A,10544,20,"2018-07-11 16:08:41"
3438,100.0,2018-07-07,A,10544,32,"2018-07-12 12:29:15"
3439,100.0,2018-07-07,A,10546,27,"2018-07-12 09:37:31"
3440,100.0,2018-07-08,A,10546,31,"2018-07-12 09:37:51"
3441,100.0,2018-07-09,A,10550,2,"2018-07-12 09:24:26"
3442,100.0,2018-07-06,A,10551,66,"2018-07-11 16:13:57"
3443,100.0,2018-07-06,A,10551,98,"2018-07-11 16:14:27"
3444,100.0,2018-07-08,A,10552,48,"2018-07-11 16:27:28"
3445,100.0,2018-07-08,A,10552,41,"2018-07-11 16:27:56"
3446,100.0,2018-07-08,A,10553,52,"2018-07-11 16:25:56"
3447,100.0,2018-07-08,A,10553,46,"2018-07-11 16:26:15"
3448,97.0,2018-07-07,A,10555,29,"2018-07-17 11:19:22"
3449,85,NULL,A,10555,0,NULL
3450,86,2018-07-09,A,10557,26,"2018-07-16 10:53:28"
3451,5,2018-07-06,A,10557,19,"2018-07-16 10:53:00"
3452,31,2018-07-07,A,10559,33,"2018-07-11 16:13:07"
3453,57,2018-07-07,A,10559,39,"2018-07-11 16:12:48"
3454,64,2018-07-08,A,10561,18,"2018-07-12 08:57:52"
3455,71,NULL,A,10561,0,NULL
3456,12,2018-07-08,A,10562,26,"2018-07-11 15:09:55"
3457,100.0,2018-07-08,A,10562,26,"2018-07-11 15:10:42"
3458,100.0,2018-07-08,A,10562,33,"2018-07-11 15:11:45"
3459,100.0,2018-07-08,A,10562,26,"2018-07-11 15:11:17"
3460,26,NULL,A,10563,0,"2018-07-12 10:44:09"
3461,91,2018-07-08,A,10564,26,"2018-07-13 09:40:55"
3462,92,2018-07-06,A,10564,41,"2018-07-13 09:42:13"
3463,93,2018-07-08,A,10564,41,"2018-07-13 09:37:13"
3464,13,2018-07-08,A,10565,26,"2018-07-12 11:44:29"
3465,50,2018-07-08,A,10570,35,"2018-07-11 16:20:53"
3466,100.0,2018-07-08,A,10570,63,"2018-07-11 16:20:32"
3467,100.0,2018-07-08,A,10571,30,"2018-07-12 10:09:43"
3468,100.0,2018-07-08,A,10564,13,"2018-07-13 09:37:40"
3469,100.0,2018-07-08,A,10572,17,"2018-07-13 09:36:03"
3471,100.0,2018-07-08,A,10573,44,"2018-07-12 09:33:59"
3472,100.0,2018-07-07,A,10576,36,"2018-07-12 09:18:32"
3473,70,2018-07-08,A,10577,15,"2018-07-13 09:55:45"
3474,69,2018-07-09,A,10577,1,"2018-07-13 09:56:06"
3475,16,2018-07-08,A,10581,92,"2018-07-11 16:19:37"
3476,25,2018-07-08,A,10581,80,"2018-07-11 16:17:37"
3477,68,2018-07-07,A,10581,66,"2018-07-11 16:19:15"
3478,8,2018-07-08,A,10581,71,"2018-07-11 16:18:20"
3479,7,2018-07-08,A,10581,81,"2018-07-11 16:18:49"
3480,33,2018-07-09,A,10584,9,"2018-07-11 16:24:09"
3481,43,2018-07-08,A,10584,26,"2018-07-11 16:24:30"
3482,32,2018-07-08,A,10584,17,"2018-07-11 16:23:39"
3483,27,2018-07-08,A,10586,45,"2018-07-11 16:15:54"
3484,29,2018-07-07,A,10586,15,"2018-07-11 16:16:39"
3485,14,2018-07-07,A,10586,22,"2018-07-11 16:16:18"
