idContact,oldHH,newHH
7401,10513,10800
7401,10577,10800
7401,10664,10800
7401,10718,10800
7401,10800,10800
7432,10544,10801
7432,10665,10801
7432,10719,10801
7432,10801,10801
7434,10546,10802
7434,10666,10802
7434,10720,10802
7434,10802,10802
7438,10550,10803
7438,10667,10803
7438,10721,10803
7438,10803,10803
7439,10551,11247
7439,10668,11247
7439,10722,11247
7439,10804,11247
7439,11247,11247
7440,10552,10805
7440,10669,10805
7440,10723,10805
7440,10805,10805
7441,10553,10806
7441,10670,10806
7441,10724,10806
7441,10806,10806
7443,10555,10725
7443,10671,10725
7443,10725,10725
7443,10807,10725
7445,10557,10808
7445,10672,10808
7445,10726,10808
7445,10808,10808
7447,10559,10809
7447,10673,10809
7447,10727,10809
7447,10809,10809
7449,10561,10810
7449,10674,10810
7449,10728,10810
7449,10810,10810
7450,10562,10729
7450,10675,10729
7450,10729,10729
7450,10811,10729
7451,10563,10812
7451,10676,10812
7451,10730,10812
7451,10812,10812
7452,10564,10731
7452,10677,10731
7452,10731,10731
7452,10813,10731
7453,10565,10732
7453,10732,10732
7458,10570,10827
7458,10745,10827
7458,10827,10827
7459,10571,10815
7459,10680,10815
7459,10733,10815
7459,10815,10815
7460,10572,10816
7460,10681,10816
7460,10816,10816
7461,10573,11219
7461,10682,11219
7461,10735,11219
7461,10817,11219
7461,11219,11219
7464,10576,10818
7464,10683,10818
7464,10736,10818
7464,10818,10818
7464,11240,10818
7472,10581,10819
7472,10684,10819
7472,10737,10819
7472,10819,10819
7475,10584,10738
7475,10685,10738
7475,10738,10738
7475,10820,10738
7477,10586,10821
7477,10686,10821
7477,10739,10821
7477,10821,10821
7479,10588,10822
7479,10687,10822
7479,10740,10822
7479,10822,10822
7481,10590,10823
7481,10688,10823
7481,10741,10823
7481,10823,10823
7483,10592,10824
7483,10689,10824
7483,10742,10824
7483,10824,10824
7494,10603,10826
7494,10691,10826
7494,10744,10826
7494,10826,10826
7491,10600,10600
7491,10690,10600
7491,10743,10600
7491,10825,10600
